Title,Year,Edition,Director,Format,Resolution,Codec,Audio,Bitrate,Location,External Subtitles,Filename or ISBN
Brazil,1985,Director's Cut,Terry Gilliam,mp4,1080p,x264,,,/Sci-Fi,,
Doctor Sleep,2019,Director's Cut,Mike Flanagan,mkv,1080p,x264,,,/Horror,,
Gozu,2003,Unrated,Takashi Miike-XviD,avi,,,,,/Horror,,
Ichi the Killer,2001,Uncut,Takashi Miike,mkv,1080p,x264,AC3,,/Action,,
Jennifer's Body,2009,Unrated,Karyn Kusama,mkv,1080p,x264,AAC5.1,,/Horror,,
Midsommar,2019,Director's Cut,Ari Aster,mkv,1080p,x264,DD2.0,,/Horror,,
Perfect Blue,1997,Remastered,Satoshi Kon,mkv,1080p,x264,,,/Animation,,
Straight Outta Compton,2015,Unrated,DC-F· Gary Gray,mkv,720p,x265,,,/BLM,,
Talladega Nights-The Ballad of Ricky Bobby,2006,Unrated,Adam McKay,mkv,720p,,,,/Comedy,,
The Others,2001,Remastered,Alejandro Amenábar,mkv,1080p,x265,,,/Horror,,
The Shining,1980,Remastered,Stanley Kubrick,mkv,1080p,x265,,,/Horror,,
